order_id,customer_id,product_id,category,price,cost,quantity,discount,delivery_days,order_date,return_date,is_returned,return_reason,revenue,nominal_profit,profit_after_return,location,customer_age,customer_tenure_months
O1,C198,P40,Beauty,37.89,28.88,3,0.2,7,2023-01-08,,0,,90.94,4.3,4.3,North,64,7
O2,C253,P133,Toys,215.58,153.35,1,0.22,2,2023-08-31,,0,,168.15,14.8,14.8,South,53,1
O3,C397,P172,Beauty,217.23,115.24,2,0.3,9,2023-08-27,,0,,304.12,73.64,73.64,South,52,59
O4,C473,P8,Home,216.56,148.53,1,0.06,9,2024-03-05,,0,,203.57,55.04,55.04,North,26,41
O5,C406,P108,Home,266.21,225.02,2,0.25,7,2023-07-19,,0,,399.31,-50.73,-50.73,East,61,26
O6,C373,P183,Home,275.41,190.62,1,0.11,6,2023-09-21,2023-09-26,1,Size Issue,245.11,54.49,-156.8,East,27,42
O7,C233,P31,Home,53.71,44.48,1,0.03,4,2023-10-17,,0,,52.1,7.62,7.62,South,19,11
O8,C323,P104,Apparel,22.65,12.65,1,0.21,3,2024-06-18,,0,,17.89,5.24,5.24,South,18,11
O9,C424,P3,Home,127.11,72.47,1,0.03,1,2023-02-16,,0,,123.3,50.83,50.83,South,35,46
O10,C288,P38,Home,244.76,182.91,2,0.09,8,2023-12-01,2023-12-08,1,Damaged,445.46,79.64,-269.55,West,43,20
O11,C466,P179,Toys,33.45,24.11,1,0.02,3,2024-08-19,,0,,32.78,8.67,8.67,North,35,44
O12,C460,P47,Electronics,70.63,45.16,2,0.02,6,2024-06-25,2024-07-05,1,Size Issue,138.43,48.11,-100.27,South,20,58
O13,C380,P44,Home,252.94,152.85,1,0.17,4,2023-01-30,,0,,209.94,57.09,57.09,West,39,59
O14,C100,P64,Toys,127.31,101.33,1,0.21,6,2024-03-30,2024-04-13,1,Damaged,100.57,-0.76,-56.91,West,45,28
O15,C479,P189,Home,195.1,141.96,1,0.09,6,2024-04-19,,0,,177.54,35.58,35.58,West,54,2
O16,C276,P18,Toys,163.97,126.84,1,0.24,8,2023-04-30,2023-05-03,1,Damaged,124.62,-2.22,-68.2,East,62,27
O17,C358,P53,Electronics,159.82,106.98,1,0.13,4,2024-02-16,,0,,139.04,32.06,32.06,South,54,33
O18,C368,P92,Sports,293.88,233.58,1,0.27,1,2023-10-12,,0,,214.53,-19.05,-19.05,West,58,46
O19,C302,P124,Sports,30.42,24.23,1,0.18,9,2024-06-13,,0,,24.94,0.71,0.71,West,39,57
O20,C167,P160,Beauty,104.73,68.63,1,0.08,3,2024-02-02,,0,,96.35,27.72,27.72,West,51,29
O21,C65,P146,Apparel,267.12,156.73,1,0.15,2,2023-06-01,,0,,227.05,70.32,70.32,East,28,8
O22,C28,P79,Beauty,61.02,42.54,1,0.14,2,2024-08-16,,0,,52.48,9.94,9.94,South,59,3
O23,C287,P146,Apparel,267.12,156.73,2,0.23,3,2023-12-26,2024-01-01,1,Damaged,411.36,97.9,-261.63,East,68,3
O24,C144,P94,Apparel,272.77,213.4,2,0.28,1,2023-01-11,,0,,392.79,-34.01,-34.01,South,63,27
O25,C400,P113,Home,175.96,112.63,1,0.21,3,2023-04-04,,0,,139.01,26.38,26.38,North,56,20
O26,C391,P184,Toys,138.28,123.64,1,0.17,1,2023-05-31,,0,,114.77,-8.87,-8.87,North,46,8
O27,C136,P182,Apparel,26.88,21.8,1,0.03,7,2023-04-18,,0,,26.07,4.27,4.27,North,25,13
O28,C14,P49,Apparel,211.78,109.21,2,0.17,8,2023-04-12,,0,,351.55,133.13,133.13,South,35,23
O29,C99,P138,Toys,187.34,117.85,1,0.24,2,2023-10-05,,0,,142.38,24.53,24.53,East,39,40
O30,C467,P136,Sports,131.74,117.4,1,0.1,3,2023-06-04,2023-06-14,1,Changed Mind,118.57,1.17,-66.87,South,54,20
O31,C61,P158,Home,97.95,55.62,1,0.03,2,2024-06-21,,0,,95.01,39.39,39.39,South,52,34
O32,C211,P6,Electronics,81.59,67.13,2,0.19,4,2023-02-09,,0,,132.18,-2.08,-2.08,East,47,34
O33,C326,P141,Electronics,192.09,166.67,3,0.17,3,2024-03-12,,0,,478.3,-21.71,-21.71,East,57,33
O34,C48,P124,Sports,30.42,24.23,1,0.1,9,2023-02-03,,0,,27.38,3.15,3.15,North,40,9
O35,C270,P57,Electronics,171.91,94.74,1,0.18,6,2024-06-04,,0,,140.97,46.23,46.23,East,57,25
O36,C244,P56,Sports,289.97,229.85,2,0.03,3,2024-01-22,,0,,562.54,102.84,102.84,South,62,37
O37,C485,P160,Beauty,104.73,68.63,1,0.06,2,2023-09-30,,0,,98.45,29.82,29.82,North,41,42
O38,C57,P85,Toys,219.07,192.45,2,0.27,5,2024-01-30,,0,,319.84,-65.06,-65.06,South,27,25
O39,C267,P34,Beauty,258.92,157.83,1,0.07,4,2024-07-26,,0,,240.8,82.97,82.97,South,48,27
O40,C261,P24,Electronics,80.23,65.82,2,0.26,9,2023-03-29,2023-04-07,1,Damaged,118.74,-12.9,-59.92,South,29,24
O41,C269,P132,Sports,49.62,26.46,1,0.26,8,2024-03-11,,0,,36.72,10.26,10.26,South,44,46
O42,C285,P33,Beauty,211.79,123.4,1,0.24,7,2023-09-09,,0,,160.96,37.56,37.56,West,68,24
O43,C254,P37,Toys,216.23,111.48,1,0.08,5,2024-04-03,,0,,198.93,87.45,87.45,North,58,58
O44,C295,P23,Beauty,117.2,88.43,1,0.12,9,2024-07-09,,0,,103.14,14.71,14.71,South,66,17
O45,C286,P75,Toys,98.56,63.27,1,0.27,2,2024-07-20,,0,,71.95,8.68,8.68,West,53,58
O46,C178,P152,Sports,54.96,47.6,2,0.15,5,2023-05-07,,0,,93.43,-1.77,-1.77,South,54,22
O47,C40,P18,Toys,163.97,126.84,2,0.29,6,2023-09-26,,0,,232.84,-20.84,-20.84,North,40,34
O48,C380,P155,Beauty,259.52,170.71,1,0.25,8,2023-08-19,,0,,194.64,23.93,23.93,West,39,59
O49,C372,P94,Apparel,272.77,213.4,2,0.22,2,2024-08-10,,0,,425.52,-1.28,-1.28,West,49,34
O50,C413,P185,Apparel,79.54,51.76,1,0.05,4,2023-07-14,,0,,75.56,23.8,23.8,North,43,54
O51,C271,P61,Beauty,213.1,154.44,3,0.04,1,2023-08-16,,0,,613.73,150.41,150.41,West,51,17
O52,C15,P43,Sports,160.15,101.9,1,0.24,1,2024-05-20,2024-06-01,1,Not as described,121.71,19.81,-77.76,North,42,49
O53,C191,P45,Sports,205.95,143.84,2,0.16,6,2024-02-28,,0,,346.0,58.32,58.32,East,65,29
O54,C315,P81,Electronics,153.23,82.24,1,0.19,6,2023-08-28,2023-09-01,1,Size Issue,124.12,41.88,-90.0,West,51,18
O55,C192,P144,Sports,125.07,66.31,1,0.01,6,2024-02-07,,0,,123.82,57.51,57.51,East,36,12
O56,C192,P116,Electronics,98.65,64.24,1,0.26,5,2023-08-28,,0,,73.0,8.76,8.76,East,36,12
O57,C366,P87,Apparel,167.34,91.26,1,0.12,3,2024-01-13,,0,,147.26,56.0,56.0,South,32,39
O58,C469,P194,Sports,23.84,12.64,1,0.07,6,2023-03-17,,0,,22.17,9.53,9.53,North,65,50
O59,C97,P91,Electronics,181.06,94.58,1,0.16,6,2024-03-31,,0,,152.09,57.51,57.51,South,66,19
O60,C224,P44,Home,252.94,152.85,1,0.05,3,2023-12-31,,0,,240.29,87.44,87.44,West,40,29
O61,C307,P98,Sports,203.99,172.73,2,0.05,1,2024-02-05,,0,,387.58,42.12,42.12,North,37,2
O62,C84,P18,Toys,163.97,126.84,1,0.09,3,2024-06-12,,0,,149.21,22.37,22.37,West,66,51
O63,C311,P5,Sports,83.64,67.36,1,0.03,7,2024-04-03,,0,,81.13,13.77,13.77,West,60,13
O64,C273,P62,Sports,255.53,152.15,2,0.23,6,2023-04-22,,0,,393.52,89.22,89.22,North,62,53
O65,C405,P106,Beauty,146.28,86.79,1,0.01,8,2023-03-03,2023-03-13,1,Changed Mind,144.82,58.03,-108.42,West,52,22
O66,C454,P164,Toys,142.61,86.13,1,0.15,7,2023-11-04,,0,,121.22,35.09,35.09,North,56,7
O67,C479,P61,Beauty,213.1,154.44,1,0.03,5,2023-02-17,,0,,206.71,52.27,52.27,West,54,2
O68,C255,P72,Toys,282.64,147.37,1,0.0,3,2023-02-28,,0,,282.64,135.27,135.27,North,55,38
O69,C80,P175,Home,135.72,99.41,1,0.11,2,2023-06-09,2023-06-12,1,Damaged,120.79,21.38,-78.09,North,69,40
O70,C19,P182,Apparel,26.88,21.8,1,0.03,6,2024-02-14,,0,,26.07,4.27,4.27,South,60,58
O71,C364,P13,Toys,129.2,78.08,1,0.1,3,2023-10-12,,0,,116.28,38.2,38.2,West,42,2
O72,C217,P18,Toys,163.97,126.84,1,0.06,4,2024-02-24,,0,,154.13,27.29,27.29,South,39,35
O73,C356,P142,Electronics,66.34,39.88,1,0.13,5,2023-07-15,,0,,57.72,17.84,17.84,East,34,13
O74,C381,P186,Beauty,37.22,29.77,3,0.23,2,2023-03-28,,0,,85.98,-3.33,-3.33,North,24,6
O75,C363,P90,Sports,82.63,74.23,1,0.07,8,2024-06-17,,0,,76.85,2.62,2.62,West,35,39
O76,C394,P56,Sports,289.97,229.85,3,0.16,4,2024-03-08,,0,,730.72,41.17,41.17,East,47,28
